Title,Subtitle,Price During the World Cup (R$),Rating,Guests,Bedrooms,Beds,Bathrooms
Vila costeira com piscina,Vila em Doha,53.310,Novo,,,,
"Independent studio, kitchen, bathroom and room",Casa de hóspedes em Doha,44.017,Novo,,,,
Cozy one bedroom in Qatar Pearl,Apartamento em Doha,205.423,Novo,,,,
Celebrate Christmas and the World Cup together.,Casa de veraneio em Doha,420.023,Novo,,,,
Adam202,Quarto inteiro em Doha,26.639,Novo,,,,
Um quarto espaçoso com banheira e cozinha anexas,Quarto inteiro em Doha,57.059,Novo,,,,
Lovely 1-bedroom rental unit with free parking,Apartamento em Doha,145.549,Novo,,,,
"Quarto super-king, perto da principal estação de metrô",Quarto inteiro em Doha,54.791,Novo,,,,
Nice and clean 1 bedroom apartment outside a villa,Quarto inteiro em Doha,65.216,Novo,,,,
Furnished 1 Bedroom Apartment in Porto Arabia,Casa de veraneio em Doha,227.697,Novo,,,,
Estúdio de luxo com vista para o mar - The Pearl,Casa de veraneio em Doha,132.078,Novo,,,,
Kempinsky Residences Apartment - WorldCup Season,Quarto inteiro em الدوحة,81.512,Novo,,,,
Oferta especial FIFA 2022 - Lovly Studio in The Pearl,Casa de veraneio em Doha,127.514,Novo,,,,
estúdio lindo em localização privilegiada com vista para o mar (2),Apartamento em Doha,228.234,Novo,,,,
Excelente apartamento em uma excelente localização,Condomínio em Doha,203.781,"5,0 (3)",,,,
FIFA 2022 Special Offer - Lovely 2 Bedrooms,Apartamento em Doha,293.472,Novo,,,,
Modren 1 quarto Apartamento totalmente mobiliado,Apartamento em Lusail,165.112,"5,0 (5)",,,,
M e r c a t o 5 0 1,Casa de veraneio em Doha,124.714,Novo,,,,
Adorável apartamento de 1 cama com piscina,Apartamento em Doha,244.537,"5,0 (4)",,,,
1 Quarto 1 Banheiro 1 Cozinha 1 hall,Apartamento em Doha,73.361,Novo,,,,
